goos: darwin
goarch: arm64
pkg: uk.ac.bris.cs/gameoflife
cpu: Apple M3 Pro
,result/results_1000.out
,sec/op,CI
Gol/512x512x1000-1-11,3.205500021,1%
Gol/512x512x1000-2-11,3.2297369585,0%
Gol/512x512x1000-3-11,3.2714052705000003,0%
Gol/512x512x1000-4-11,3.2795606245,2%
Gol/512x512x1000-5-11,3.294167646,1%
Gol/512x512x1000-6-11,3.3180009790000002,1%
Gol/512x512x1000-7-11,3.2918289165,0%
Gol/512x512x1000-8-11,3.297316604,0%
Gol/512x512x1000-9-11,3.3086488540000003,0%
Gol/512x512x1000-10-11,3.293679354,0%
Gol/512x512x1000-11-11,3.2998205415,0%
Gol/512x512x1000-12-11,3.3051625630000006,1%
Gol/512x512x1000-13-11,3.3207373330000003,0%
Gol/512x512x1000-14-11,3.308697813,0%
Gol/512x512x1000-15-11,3.3194464585,0%
Gol/512x512x1000-16-11,3.3290596875,0%
geomean,3.2918909708931445
